'CRIE Readability 1.0','SVM readability prediction 1.0','SVM readability prediction 2.0',Paragraphs,'Average paragraph length',Characters,Words,Adverbs,Verbs,'Type-token ratio','Difficult words','Low-stroke characters','Intermediate-stroke characters','High-stroke characters','Average strokes','Two-character words','Three-character words',Sentences,'Average sentence length','Simple sentence ratio','modifiers per NP','Np ratio','Average propositional phrase','Sentences with complex structure',Parallelism,'Average number of idioms each sentence','Content words',Negatives,'Sentences with complex semantic categories','Number of complex semantic categories','Intentional words','Noun word density','Content word frequency in logarithmic','Average frequency of content word in domain in Logarithmic','Number of Idioms','Standard Deviation of number of idioms',Pronouns,'Personal pronouns','First personal pronouns','Third personal pronouns',conjunctions,'positive conjunctions','negative conjunctions','adversative conjunctions','causal conjunctions','hypothesis conjunction','condition conjunction','purpose conjunctions','figure of speech (simile)','Content word category',class
-0.11458,0.425853,-0.578255,0.05512,1.945348,0.700191,0.98281,0.746453,1.14087,-2.643962,-0.300299,-0.625027,0.70851,-0.157364,0.477647,-0.132867,-0.83464,1.947514,-0.599394,0.191321,-0.822033,-0.710628,-0.643488,-1.050717,2.857998,-0.229998,1.399713,-0.463198,-0.279008,-0.209364,-0.304085,1.399713,1.33452,-1.243837,-0.146636,-0.072764,-0.691219,-0.679102,-0.444128,-0.361364,-0.746321,-0.606327,-0.431698,-0.300137,-0.222235,-0.280489,-0.164986,-0.038133,-0.121372,-1.885851,censored
0.866215,0.425853,-0.578255,0.05512,1.945348,1.28784,1.225183,0.844035,0.38981,0.104629,-0.836989,0.117858,-0.044892,-0.157364,-0.066747,0.844488,-0.595999,1.947514,-0.484808,-0.936197,-0.410213,-0.59396,-0.238792,-0.680525,-0.102567,-0.229998,-0.326676,0.103067,0.05533,0.770206,-0.304085,-0.326676,-0.327463,0.247214,-0.146636,-0.072764,-0.399362,-0.383462,-0.444128,-0.361364,1.918949,2.073726,0.438986,-0.300137,2.448768,4.005813,-0.164986,-0.038133,-0.121372,-0.068693,censored
0.183022,0.425853,-0.578255,0.05512,-0.006936,1.238869,1.023205,-0.657579,-0.135471,-0.596198,0.448692,-0.35179,0.303287,-0.157364,0.286728,1.258456,-0.3212,-0.008241,0.995253,0.191321,-0.266075,0.311313,0.06473,0.615144,-0.102567,2.246475,-0.167279,0.145966,-0.111839,-0.223389,0.520862,-0.167279,0.405273,-1.689389,0.774589,1.989555,-0.691219,-0.679102,-0.444128,0.417663,0.687271,1.123525,-0.431698,-0.300137,1.214441,-0.280489,-0.164986,-0.038133,-0.121372,-0.477701,censored
0.702072,0.425853,-0.578255,0.05512,0.773978,0.724676,0.700041,0.283571,-0.471413,-0.836413,-0.239139,0.583542,-0.598149,-0.157364,-0.51673,0.712721,-0.250381,0.774061,-0.179247,-0.936197,-0.729374,0.855144,-0.238792,0.377164,-0.102567,-0.229998,0.824599,0.229989,0.389668,0.141634,-0.304085,0.824599,1.019321,0.361849,-0.146636,-0.072764,-0.691219,-0.679102,-0.444128,-0.361364,-0.746321,-0.606327,-0.431698,-0.300137,-0.222235,-0.280489,-0.164986,-0.038133,-0.121372,-0.414323,censored
0.943995,0.425853,-0.578255,0.05512,1.554891,1.238869,1.023205,0.536505,0.016754,0.150183,-0.227481,0.354537,-0.430974,1.111459,0.223418,0.847383,-0.57792,1.556363,-0.422741,-0.936197,-0.706209,-0.33222,-0.618194,-0.277281,-0.102567,-0.229998,0.618635,-0.463198,-0.111839,0.198044,-0.304085,0.618635,-0.063847,-0.834833,-0.146636,-0.072764,-0.377252,-0.361065,0.097039,-0.361364,-0.268457,-0.02971,-0.431698,-0.300137,-0.222235,-0.280489,-0.164986,-0.038133,-0.121372,0.502538,censored
0.196134,0.425853,-0.578255,0.05512,-0.006936,0.96953,0.659645,-0.469039,0.978169,0.713242,0.069086,-0.084419,0.195424,-0.157364,0.182055,0.663482,0.651634,-0.008241,0.608528,0.191321,-0.590384,0.827776,0.520012,1.329085,-0.102567,2.246475,0.626908,-0.463198,-0.111839,-0.479325,0.651117,0.626907,-0.741023,-0.636276,0.920046,1.989555,0.399402,0.057405,-0.444128,-0.361364,-0.746321,-0.606327,-0.431698,-0.300137,-0.222235,-0.280489,-0.164986,-0.038133,-0.121372,1.102289,censored
-0.233123,-0.988853,-0.578255,0.05512,2.335805,1.018501,1.144392,0.106338,0.334439,-0.163514,-0.021689,0.61941,-0.640763,-0.157364,-0.784121,-0.707545,0.393152,2.338665,-0.654777,0.942999,0.54933,0.76388,-0.845835,-0.76514,-0.102567,0.760591,0.516124,0.119481,0.489969,2.274927,-0.304085,0.516125,-0.000376,0.270804,0.734536,1.989555,0.81036,0.841946,1.108785,-0.361364,-0.746321,-0.606327,-0.431698,-0.300137,-0.222235,-0.280489,-0.164986,-0.038133,-0.121372,0.337389,censored
-0.30769,-0.988853,-0.578255,0.05512,1.164434,0.749161,0.61925,-1.449573,-0.39099,0.119083,0.786778,0.702239,-0.739169,-0.157364,-1.334424,0.975844,0.073049,1.165212,-0.465711,0.867831,-0.435951,2.143876,0.19481,-0.506762,3.703874,-0.229998,0.97791,-0.463198,0.532955,1.469068,-0.304085,0.97791,-0.146086,0.217236,-0.146636,-0.072764,-0.321187,-0.679102,-0.444128,-0.361364,-0.746321,-0.606327,-0.431698,-0.300137,-0.222235,-0.280489,-0.164986,-0.038133,-0.121372,0.506914,censored
0.050486,0.425853,-0.578255,0.05512,-0.006936,0.994015,0.98281,-1.505247,-1.023054,-1.001923,0.042988,-0.549826,0.748352,-0.157364,-0.499314,0.18018,-0.052631,-0.008241,0.952284,0.191321,0.413429,-0.630392,-0.845835,-0.336776,-0.102567,-0.229998,1.718915,0.773873,-0.111839,-0.369638,-0.304085,1.718915,0.613174,-0.179239,-0.146636,-0.072764,-0.691219,-0.679102,-0.444128,-0.361364,-0.746321,-0.606327,-0.431698,-0.300137,-0.222235,-0.280489,-0.164986,-0.038133,-0.121372,-0.019628,censored
0.993813,0.425853,-0.578255,0.05512,0.773978,0.896074,0.740437,-0.134264,1.022981,0.449578,-0.536916,0.162526,-0.09796,-0.157364,-0.616058,-0.044436,-0.260283,0.774061,-0.150601,-0.936197,-0.451395,-0.422828,0.368251,-0.019469,-0.102567,3.071965,-0.391065,0.21824,0.389668,1.09121,-0.304085,-0.391065,-0.459501,0.670749,1.91441,4.802149,1.064865,1.099751,-0.444128,0.510089,0.857358,0.038703,1.663848,1.53631,-0.222235,1.009034,-0.164986,-0.038133,-0.121372,0.039417,censored
0.435602,-0.988853,-0.578255,0.05512,-0.787849,-1.185185,-1.238945,-0.725812,0.290757,1.145358,-0.700802,0.045519,0.041051,-0.157364,-1.047398,0.806276,0.859713,-0.790543,-0.981345,-0.936197,-0.358735,0.710546,-0.845835,-1.050717,-0.102567,-0.229998,1.718915,-0.463198,1.392681,0.178797,-0.304085,1.718915,-0.886329,-0.585585,-0.146636,-0.072764,-0.691219,-0.679102,-0.444128,-0.361364,-0.746321,-0.606327,-0.431698,-0.300137,-0.222235,-0.280489,-0.164986,-0.038133,-0.121372,2.095426,censored
1.066816,0.425853,-0.578255,0.05512,-0.006936,0.749161,0.780832,-0.350529,-0.881369,-0.496681,0.786778,0.382754,-0.359602,-0.157364,-0.015326,0.241051,0.012536,-0.008241,0.737436,-0.936197,-0.822033,0.763997,0.06473,-0.217786,-0.102567,-0.229998,-0.5288,-0.463198,-0.8641,-0.49365,-0.304085,-0.528799,-0.021417,-0.812992,-0.146636,-0.072764,-0.691219,-0.679102,-0.444128,-0.361364,1.356281,1.29651,-0.431698,-0.300137,-0.222235,-0.280489,-0.164986,-0.038133,-0.121372,-0.330665,censored
1.100473,0.425853,-0.578255,0.05512,1.554891,1.238869,1.34637,1.343318,-0.279466,0.035872,-0.017319,-0.086918,0.198392,-0.157364,0.638586,-0.146969,-0.14774,1.556363,-0.250863,-0.936197,-0.24291,-0.50101,-0.618194,-0.277281,-0.102567,-0.229998,-0.103556,0.080111,0.640421,0.981967,-0.304085,-0.103557,0.055464,0.029312,-0.146636,-0.072764,-0.13117,-0.111792,-0.444128,1.028251,1.384694,0.936514,1.239075,1.164058,-0.222235,-0.280489,-0.164986,-0.038133,-0.121372,-0.090241,censored
0.746614,0.425853,-0.578255,0.05512,2.335805,1.312326,1.184787,-0.082469,0.290757,-0.731258,-0.275779,-0.126648,0.143323,-0.157364,0.331487,0.515589,-0.350539,2.338665,-0.637589,-0.48519,-0.098129,0.645041,-0.845835,-0.431968,-0.102567,-0.229998,-0.5041,-0.463198,0.790873,3.270166,-0.304085,-0.504099,0.195731,0.135678,-0.146636,-0.072764,0.788909,0.820217,-0.444128,2.576679,2.858139,2.65568,1.334548,2.795589,6.550666,-0.280489,-0.164986,-0.038133,-0.121372,-0.561721,censored
1.327677,0.425853,-0.578255,0.05512,1.164434,1.410267,1.265579,0.337491,0.067495,-0.108978,0.683474,-0.648704,0.865825,-0.157364,0.701056,0.410618,0.341994,1.165212,-0.072847,-0.936197,-0.544054,-0.530177,0.19481,0.241176,-0.102567,-0.229998,-0.298265,0.095202,0.962818,0.943315,-0.304085,-0.298264,-0.200927,-0.083164,-0.146636,-0.072764,0.172189,0.195501,-0.444128,0.352744,0.129763,-0.606327,1.285485,1.20473,-0.222235,-0.280489,-0.164986,-0.038133,-0.121372,-0.038635,censored
0.382008,0.425853,-0.578255,0.05512,1.554891,1.312326,1.34637,-0.482385,-0.007931,-0.518871,0.485242,-0.126648,-0.061221,1.079738,0.70964,0.494638,-0.605674,1.556363,-0.250863,0.191321,-0.435951,0.238103,0.06473,-0.693746,-0.102567,-0.229998,-0.804507,0.080111,-0.111839,0.404882,1.167442,-0.804506,-0.074805,-0.613273,-0.146636,-0.072764,-0.411194,-0.395447,-0.444128,0.333444,1.384694,0.422234,2.074461,-0.300137,-0.222235,-0.280489,-0.164986,-0.038133,-0.121372,-0.527375,censored
0.543996,0.425853,-0.578255,0.05512,-0.787849,-1.111729,-1.036967,1.150605,0.62565,1.145358,0.538848,-1.184247,1.502079,-0.157364,0.052722,-0.550264,-0.83464,-0.790543,-0.55165,-0.936197,-0.822033,-0.153248,-0.845835,-1.050717,-0.102567,-0.229998,1.02731,2.217123,1.392681,-0.676761,-0.304085,1.02731,-0.886329,0.427024,-0.146636,-0.072764,-0.691219,-0.679102,-0.444128,-0.361364,-0.746321,-0.606327,-0.431698,-0.300137,-0.222235,-0.280489,-0.164986,-0.038133,-0.121372,1.556295,censored
-1.28708,-2.403559,-0.578255,0.05512,-1.178306,-1.576951,-1.602505,-1.851662,7.323511,1.145358,4.505729,-3.397827,4.131931,-0.157364,5.468701,3.519357,-0.83464,-1.181694,-1.668858,1.318838,-0.822033,-2.621233,-0.845835,-1.050717,-0.102567,-0.229998,1.718915,-0.463198,-1.61636,-0.968659,-0.304085,1.718915,-0.886329,-3.165213,-0.146636,-0.072764,-0.691219,-0.679102,-0.444128,-0.361364,-0.746321,-0.606327,-0.431698,-0.300137,-0.222235,-0.280489,-0.164986,-0.038133,-0.121372,2.095426,censored
-1.116747,-0.988853,-0.578255,0.05512,-1.178306,-1.332097,-1.319736,0.962963,1.044266,1.145358,2.646254,0.045519,-0.981669,-0.157364,0.083495,0.128006,-0.83464,-1.181694,-0.465711,1.318838,0.567862,-0.400047,-0.845835,1.805045,-0.102567,-0.229998,0.422156,-0.463198,1.392681,-0.756898,-0.304085,0.422156,-0.886329,-1.015536,-0.146636,-0.072764,1.899005,1.944706,4.020495,-0.361364,-0.746321,-0.606327,-0.431698,-0.300137,-0.222235,-0.280489,-0.164986,-0.038133,-0.121372,1.084555,censored
1.075399,4.669972,-0.578255,0.05512,-0.397393,1.067472,1.629138,0.511233,2.114064,-3.010419,0.557214,-1.707457,2.123681,-0.157364,0.298904,-1.169919,-0.416281,-0.399392,2.799974,-0.936197,-0.822033,-2.621233,-0.845835,-1.050717,-0.102567,-0.229998,-0.842583,-0.463198,-0.613346,-0.230401,-0.304085,-0.842583,2.671499,-0.764932,-0.146636,-0.072764,0.076255,0.098322,-0.444128,-0.361364,0.032421,-0.606327,-0.431698,-0.300137,-0.222235,-0.280489,-0.164986,-0.038133,-0.121372,-2.397335,censored
-0.596131,0.425853,-0.578255,0.05512,1.164434,1.116442,1.023205,-1.169329,-0.135471,1.020961,0.110606,-0.261923,0.406308,-0.157364,0.391222,0.641847,0.19224,1.165212,-0.220171,1.318838,0.203842,0.756923,-0.845835,-0.16679,-0.102567,-0.229998,1.247366,-0.463198,-0.326771,0.917055,0.520862,1.247366,-0.769147,-0.929111,-0.146636,-0.072764,-0.691219,-0.679102,-0.444128,-0.361364,0.209407,0.546908,-0.431698,-0.300137,-0.222235,-0.280489,-0.164986,-0.038133,-0.121372,1.605307,censored
-1.170944,-0.988853,-0.578255,0.05512,-0.787849,-1.356583,-1.360131,-1.851662,1.582487,1.145358,1.318057,-0.110997,0.227,-0.157364,2.345281,0.612484,-0.83464,-0.790543,-1.239163,1.318838,-0.822033,-0.029849,-0.845835,-1.050717,-0.102567,-0.229998,0.236905,-0.463198,1.392681,0.507857,7.473984,0.236906,-0.886329,0.287515,-0.146636,-0.072764,2.269037,2.319535,-0.444128,-0.361364,-0.746321,-0.606327,-0.431698,-0.300137,-0.222235,-0.280489,-0.164986,-0.038133,-0.121372,0.940145,censored
1.131537,0.425853,-0.578255,0.05512,2.335805,1.091957,1.427161,-0.666557,-0.608167,-0.691133,-0.191893,0.185114,-0.124796,-0.157364,-0.241558,-0.318225,-0.611699,2.338665,-0.534462,-0.936197,-0.080756,0.263136,-0.117383,-0.479564,-0.102567,-0.229998,-0.055597,-0.463198,-0.111839,0.81408,-0.304085,-0.055596,0.454666,0.51466,-0.146636,-0.072764,0.944712,0.701849,0.965753,0.315159,0.498641,0.895913,-0.431698,-0.300137,1.025405,-0.280489,1.866723,-0.038133,-0.121372,-0.671169,censored
-0.142725,0.425853,-0.578255,0.05512,1.164434,0.847103,0.780832,-0.162887,-0.044136,-0.223008,-0.824767,0.335305,-0.303231,-0.157364,0.530307,0.467141,0.294928,1.165212,-0.367495,0.191321,0.721034,0.712789,-0.585674,0.377164,-0.102567,-0.229998,0.335706,-0.463198,0.103092,1.457877,0.603357,0.335706,0.176815,-0.498403,-0.146636,-0.072764,-0.691219,-0.679102,-0.444128,1.352494,0.30498,0.662231,-0.431698,-0.300137,-0.222235,-0.280489,-0.164986,-0.038133,-0.121372,0.073684,censored
0.653961,0.425853,-0.578255,0.05512,1.554891,1.312326,1.063601,-0.843438,0.725618,0.532656,0.287218,-0.64315,0.859227,-0.157364,0.996288,1.190967,-0.075975,1.556363,-0.401257,-0.372438,-0.590384,0.267751,-0.390553,0.020194,-0.102567,-0.229998,0.789894,0.136874,-0.111839,1.501753,0.508549,0.789894,-0.291491,-0.993215,-0.146636,-0.072764,-0.691219,-0.679102,-0.444128,-0.361364,1.136606,1.097706,-0.431698,-0.300137,1.192998,-0.280489,-0.164986,-0.038133,-0.121372,0.767715,censored
1.268593,0.425853,-0.578255,0.05512,0.383521,1.385782,1.063601,-0.675401,0.575666,0.777737,0.731272,0.339463,-0.407948,-0.157364,-0.280227,0.279857,0.429802,0.38291,0.462431,-0.936197,0.509949,-0.473273,0.246843,0.377164,-0.102567,-0.229998,0.325383,-0.463198,-0.412744,-0.494994,0.508549,0.325383,-0.758868,0.121601,-0.146636,-0.072764,-0.381938,-0.365812,-0.444128,-0.361364,-0.275589,-0.038316,-0.431698,-0.300137,-0.222235,-0.280489,-0.164986,-0.038133,-0.121372,0.888416,censored
0.208841,0.425853,-0.578255,0.05512,1.164434,0.896074,1.467556,-0.243305,-0.505158,-1.733542,0.158904,-0.238641,0.140344,-0.157364,0.413006,-1.501605,-0.174503,1.165212,0.049924,0.416824,0.506089,0.396093,0.454972,0.241176,-0.102567,-0.229998,-0.302007,-0.463198,-0.756634,-0.238013,0.403012,-0.302007,1.313011,0.314026,-0.146636,-0.072764,1.19258,1.229122,-0.444128,4.312794,-0.336723,-0.112084,-0.431698,-0.300137,-0.222235,-0.280489,-0.164986,-0.038133,-0.121372,-1.580469,censored
0.535021,0.425853,-0.578255,0.05512,1.164434,0.920559,0.538459,-1.017699,0.067495,-0.983211,2.164168,-0.120027,0.237728,-0.157364,0.023429,1.132851,1.047974,1.165212,-0.514819,-0.184519,-0.822033,0.526203,-0.065351,-0.234785,-0.102567,-0.229998,0.950465,-0.463198,0.962818,2.605333,0.704183,0.950465,1.402197,-1.009752,-0.146636,-0.072764,-0.691219,-0.679102,-0.444128,-0.361364,-0.746321,-0.606327,-0.431698,-0.300137,-0.222235,-0.280489,-0.164986,-0.038133,-0.121372,-0.60023,censored
0.250908,0.425853,-0.578255,0.05512,1.164434,0.724676,0.457668,-1.202133,-0.211583,-0.117749,1.501961,0.260728,-0.598149,1.389013,-0.429818,0.128006,2.097893,1.165212,-0.563927,0.191321,-0.689662,0.139521,-0.325512,-1.050717,-0.102567,-0.229998,0.92091,-0.463198,0.532955,0.967642,-0.304085,0.920909,0.354081,-0.981195,-0.146636,-0.072764,-0.292723,-0.275439,-0.444128,0.6274,-0.746321,-0.606327,-0.431698,-0.300137,-0.222235,-0.280489,-0.164986,-0.038133,-0.121372,0.384721,censored
0.870642,0.425853,-0.578255,0.05512,0.383521,0.06357,0.094108,-1.066185,1.015061,0.381619,0.700291,0.270085,-0.225746,-0.157364,-0.128791,0.837823,-0.83464,0.38291,-0.362584,-0.936197,-0.544054,-0.23857,0.975295,0.472356,-0.102567,-0.229998,-0.452402,-0.463198,0.189065,0.917055,-0.304085,-0.452401,-0.43225,-0.451302,-0.146636,-0.072764,-0.691219,-0.679102,-0.444128,-0.361364,-0.012855,-0.606327,1.005944,-0.300137,-0.222235,-0.280489,-0.164986,-0.038133,-0.121372,0.026666,censored
-0.790843,4.669972,-0.578255,0.05512,-1.178306,-0.156798,0.174899,0.400038,0.848912,0.050665,-0.122298,-0.470983,0.450139,-0.157364,0.187549,-1.303898,-0.458117,-1.181694,5.893781,1.318838,-0.822033,-2.621233,0.975295,-1.050717,-0.102567,-0.229998,-0.355899,-0.463198,-1.61636,-0.968659,0.905837,-0.355899,-0.225851,0.442867,-0.146636,-0.072764,1.150718,1.186717,1.937005,-0.361364,-0.746321,-0.606327,-0.431698,-0.300137,-0.222235,-0.280489,-0.164986,-0.038133,-0.121372,-0.061099,censored
0.404519,0.425853,-0.578255,0.05512,-0.006936,0.06357,0.013317,-0.478674,-1.98815,-1.658123,-0.755226,0.569506,-0.581474,-0.157364,-0.248983,0.210722,-0.008127,-0.008241,-0.078985,-0.936197,-0.127086,0.432898,0.06473,-1.050717,-0.102567,2.246475,-1.064371,-0.463198,-0.111839,-0.808386,-0.304085,-1.064372,1.48146,-0.417657,1.336312,1.989555,-0.691219,-0.679102,-0.444128,-0.361364,0.022924,-0.606327,1.076073,2.342556,-0.222235,-0.280489,-0.164986,-0.038133,-0.121372,-1.652194,censored
0.659214,0.425853,-0.578255,0.05512,1.554891,1.28784,1.34637,-0.025959,-1.094071,-1.406459,-1.323977,0.378279,-0.354286,-0.157364,-0.026925,-0.055311,0.310193,1.556363,-0.250863,-0.936197,-0.561428,-0.044103,1.202936,0.853124,-0.102567,-0.229998,-1.084887,0.623419,-0.111839,0.4989,0.431679,-1.084887,1.721711,0.267004,-0.146636,-0.072764,0.708902,0.739172,-0.444128,-0.361364,0.106085,0.422234,-0.431698,-0.300137,-0.222235,-0.280489,-0.164986,-0.038133,-0.121372,-1.729492,censored
0.513936,-0.988853,-0.578255,0.05512,-0.787849,-0.940331,-0.956176,0.797397,-0.950317,0.662405,0.130493,0.291472,-0.251155,-0.157364,-1.682082,-0.86945,0.162038,-0.790543,-0.379772,-0.936197,1.262809,0.463747,0.06473,1.805045,-0.102567,-0.229998,-0.111803,-0.463198,-0.111839,-0.449775,-0.304085,-0.111803,-0.327463,0.286218,-0.146636,-0.072764,0.52771,0.555631,-0.444128,2.663092,-0.746321,-0.606327,-0.431698,-0.300137,-0.222235,-0.280489,-0.164986,-0.038133,-0.121372,0.19261,censored
0.714698,0.425853,-0.578255,0.05512,-0.006936,0.0146,-0.188661,-0.600718,-1.327893,0.005053,0.373562,-0.699683,0.92639,-0.157364,0.53521,-0.625628,2.459935,-0.008241,-0.293833,-0.936197,-0.822033,0.801672,0.520012,0.020194,-0.102567,-0.229998,0.566241,0.653603,0.640421,1.058081,-0.304085,0.566241,0.043874,1.418333,-0.146636,-0.072764,-0.115613,-0.096034,0.548011,-0.361364,-0.746321,-0.606327,-0.431698,-0.300137,-0.222235,-0.280489,-0.164986,-0.038133,-0.121372,0.298322,censored
-1.181762,0.425853,-0.578255,0.05512,-1.178306,-1.087243,-1.158154,-1.851662,-0.211583,0.461175,2.026429,-1.519638,1.900542,-0.157364,1.26824,0.128006,1.989281,-1.181694,0.221802,1.318838,-0.822033,-0.400047,0.975295,1.805045,-0.102567,-0.229998,0.854409,-0.463198,1.392681,-0.888523,-0.304085,0.854409,-0.159803,-0.42401,-0.146636,-0.072764,-0.691219,-0.679102,-0.444128,-0.361364,-0.746321,-0.606327,-0.431698,-0.300137,-0.222235,-0.280489,-0.164986,-0.038133,-0.121372,0.747598,censored
