idx,content,followers,topic,class,WC,WPS,Sixltr,Dic,othergram,persconc,ppron,i,we,you,shehe,they,youpl,ipron,prep,auxverb,adverb,conj,negate,quanunit,prepend,specart,tensem,focuspast,focuspresent,focusfuture,progm,particle,modal_pa,general_pa,compare,interrog,number,quant,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,hear,feel,bio,body,health,sexual,ingest,drives,affiliation,achieve,power,reward,risk,relativ,motion,space,time,work,leisure,home,money,relig,death,informal,swear,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP,pos_sent,neg_sent,sentiment,charFreq,wordFreq,semantic_classes,wc_over_semantic_classes,readability
861,"中国 的 叶利钦 们 或许 要 赢 了 , 哎 ......",515,china,censored,9,9.0,0.0,66.67,55.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.22,11.11,0.0,0.0,0.0,0.0,0.0,11.11,0.0,0.0,0.0,11.11,33.33,22.22,22.22,0.0,0.0,0.0,0.0,11.11,11.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.33,11.11,0.0,11.11,11.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.11,0.0,0.0,11.11,11.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.22,0.0,0.0,11.11,11.11,0.0,77.78,66.67,11.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.181059,0.818941,0,0.00256227,0.00338177,9,1.0,0.33531468
862,"中国 的 情况 是 越来越 邪恶 , 这个 问题 不是 地方 政府 问题 , 也 不是 少数 官员 问题 , 而是 整个 制度 的 问题 , 而 这个 制度 是 中央政府 用 军队 在 支撑 着 的 .",9441,china,censored,33,33.0,0.0,84.85,39.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.09,6.06,6.06,6.06,6.06,0.0,0.0,0.0,3.03,0.0,3.03,0.0,0.0,15.15,0.0,15.15,3.03,0.0,0.0,6.06,18.18,3.03,15.15,0.0,3.03,0.0,18.18,0.0,0.0,0.0,0.0,24.24,12.12,0.0,3.03,0.0,0.0,9.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.24,3.03,0.0,12.12,0.0,12.12,9.09,0.0,9.09,0.0,12.12,0.0,0.0,0.0,3.03,0.0,6.06,0.0,0.0,6.06,0.0,0.0,15.15,3.03,12.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.102815,0.897185,0,0.0033066000000000003,0.00375441,10,3.3,1.10235367
863,"中国 的 现在 与 未来 : 敏感 瓷 , 敏感 瓷 , 敏感 瓷 , 敏感 瓷 , 敏感 瓷 , 敏感 瓷 , 敏感 瓷 , 敏感 瓷 , 敏感 瓷 , 敏感 瓷 , 敏感 瓷 , 敏感 瓷 , 敏感 瓷 , 敏感 瓷 , 敏感 瓷 , 敏感 瓷 , 敏感 瓷 , 敏感 瓷 , 敏感 瓷 , 敏感 瓷 , 敏感 瓷 , 敏感 瓷 , 敏感 瓷 , 敏感 瓷 , 敏感 瓷 , 敏感 瓷 - - - - 轰隆 ! 轰隆 ! ! 轰隆 ! ! ! ( 您 , 懂得 . )",44874,china,censored,62,15.5,0.0,54.84,8.06,1.61,1.61,0.0,0.0,1.61,0.0,0.0,0.0,0.0,1.61,0.0,1.61,1.61,0.0,0.0,0.0,0.0,3.23,0.0,1.61,1.61,0.0,1.61,0.0,1.61,0.0,0.0,0.0,0.0,41.94,0.0,41.94,0.0,0.0,0.0,1.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.84,0.0,4.84,0.0,41.94,0.0,41.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.23,0.0,0.0,3.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.52,1.61,41.94,1.61,0.0,0.0,9.68,6.45,0.0,0.0,3.23,0.0,0.240188,0.759812,0,0.00043732,0.00044602,9,6.8888888888888875,2.296590742962963
864,"中国 的 贫穷落后 的 地方 有个 共同 特点 就是 家家 供 腊肉 像 , 越供 越穷 , 当 导游 的 时候 , 我 带 着 外国 旅行团 去过 很多 穷 地方 , 穷 地方 风景 就是 美 , 因为 没有 环境污染 和 工业化 , 外国人 就 喜欢 原生态 的 东西 , 另外 老外 对 腊肉 的 认识 基本上 是 He is a monster",26944,china,censored,56,56.0,1.79,55.36,33.93,7.14,1.79,1.79,0.0,0.0,0.0,0.0,0.0,5.36,8.93,0.0,7.14,10.71,1.79,1.79,0.0,0.0,1.79,0.0,1.79,0.0,0.0,10.71,0.0,10.71,5.36,0.0,0.0,3.57,7.14,1.79,3.57,0.0,0.0,0.0,1.79,0.0,0.0,0.0,0.0,14.29,3.57,1.79,0.0,1.79,5.36,3.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.14,1.79,0.0,3.57,0.0,1.79,10.71,0.0,7.14,5.36,3.57,0.0,0.0,3.57,0.0,0.0,10.71,0.0,0.0,3.57,3.57,8.93,12.5,0.0,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38955500000000004,0.610445,0,0.00248835,0.00299785,11,5.090909090909091,1.6987984303030303
865,"中国 社会 走 到 今天 , 除了 本国 文化 与 本国 人种 , 存在 着 不 尊重 个人 私有财产 和 私人 权利 的 邪 叫 基因 之外 , 需要 追究 的 是 两项 罪责 . 第一 是 蒋介石 剿匪 不力 . 第二 是 美帝 充当 世界 警察 的 力度 不够 . 问得 好 ! 谁 的 错 ? ? ?",8058,hr,censored,50,10.0,0.0,66.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,6.0,4.0,6.0,0.0,2.0,0.0,4.0,0.0,4.0,0.0,0.0,10.0,0.0,10.0,0.0,2.0,4.0,0.0,10.0,4.0,4.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,6.0,2.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,2.0,2.0,10.0,2.0,2.0,10.0,4.0,4.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,8.0,0.0,0.0,20.0,6.0,6.0,0.0,0.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0253863,0.974614,0,0.00274243,0.00301442,11,4.545454545454546,1.5170704651515152
866,"中国社科院 研究员 周琪 反驳 美国 对 中国 的 人权 指责 , 称 中国 的 网络 自由 在 增加 . 那么 请问 周先生 , 北京市公安局 局长 公然 威胁 要 ＂ 严打 ＂ 网络 ＂ 反 体制 攻击 党和国家 领导人 ＂ 言论 , 这是 网络 自由 的 进步 , 还是 退步 ?",18964,hr,censored,40,20.0,0.0,57.5,22.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.5,5.0,5.0,2.5,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.5,0.0,7.5,0.0,0.0,0.0,2.5,17.5,5.0,10.0,2.5,10.0,0.0,5.0,0.0,0.0,0.0,0.0,7.5,0.0,0.0,2.5,2.5,2.5,0.0,2.5,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,2.5,10.0,2.5,2.5,7.5,2.5,5.0,0.0,7.5,7.5,0.0,2.5,0.0,0.0,2.5,0.0,0.0,2.5,0.0,2.5,15.0,2.5,10.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0639057,0.9360940000000001,0,0.00215299,0.0022932,11,3.6363636363636362,1.2136032754545452
867,"中国 网络 新名词 如 雨后春笋 , 而且 花样翻新 , 一些 名词 却是 语焉不详 的 . 如 星空 大师 , 中华 鳖精 , 是 只 可 发挥 想象 空间 , 是不是 又 重回 查嗣庭 主持 江西省 试时 出 了 一道 考题 : “ 维民所止 ” 那个 年代 写个 维民所止 被 疑为 雍正 砍头 ? 不过 , 网络 名词 还是 要 统一 的 , 我 建议 “ 公 蜘 , 精蝇 , 砖家 , 叫 兽 ” 四大家族 文字 要 规范 .",1302,china,censored,62,20.67,0.0,53.23,29.03,3.23,1.61,1.61,0.0,0.0,0.0,0.0,0.0,1.61,4.84,4.84,6.45,9.68,1.61,1.61,0.0,0.0,1.61,0.0,0.0,0.0,1.61,6.45,1.61,6.45,3.23,0.0,0.0,1.61,1.61,1.61,0.0,0.0,0.0,0.0,6.45,0.0,0.0,0.0,0.0,14.52,3.23,0.0,4.84,3.23,0.0,3.23,1.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.84,0.0,1.61,4.84,0.0,0.0,6.45,0.0,3.23,3.23,1.61,3.23,1.61,0.0,0.0,1.61,6.45,0.0,1.61,4.84,0.0,0.0,29.03,3.23,16.13,1.61,0.0,1.61,0.0,0.0,6.45,0.0,0.0,0.0,0.0919195,0.9080809999999999,0,0.00188227,0.00158169,11,5.636363636363638,1.8799425321212129
868,"中国 要 向 哪儿 去 ? 其实 现任 的 胡 总 都 不 知道 , “ 五 不 搞 ” 也 不 知道 , 去 朝鲜 ? 不 可能 , 其实 他们 只想思 维持现状 . 现状 是 什么 ? 是 一团糟 , 谁 都 不 深意 , 只有 农村 80 岁 的 老人 满意 . 据统计 , 去年 群体 事件 是 38 万起 ( 万人 以上 18 万起 ) 维稳 费是 7998 亿 . 其实 当局 很傻 , 这批 用于 改善 民生 , 还会 这样 ?",6160,stability,censored,67,9.57,0.0,56.72,32.84,2.99,1.49,0.0,0.0,0.0,0.0,1.49,0.0,1.49,1.49,2.99,16.42,2.99,7.46,1.49,1.49,0.0,2.99,1.49,0.0,1.49,0.0,4.48,0.0,4.48,4.48,2.99,8.96,0.0,10.45,2.99,7.46,0.0,0.0,0.0,4.48,0.0,0.0,0.0,0.0,22.39,4.48,0.0,2.99,2.99,1.49,11.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.97,1.49,1.49,2.99,0.0,0.0,5.97,4.48,1.49,1.49,0.0,0.0,0.0,0.0,0.0,0.0,4.48,0.0,0.0,4.48,0.0,0.0,28.36,4.48,11.94,0.0,0.0,5.97,0.0,0.0,2.99,0.0,2.99,0.0,0.039161400000000006,0.9608389999999999,0,0.00187005,0.00151089,10,6.7,2.2344603133333334
869,"中国 要往 哪里 ? 其实 现任 八九 老总 们 不 知道 , “ 五 不 搞 ” 也 不 知道 , 往 朝鲜 ? 不 可能 ! 其实 他们 只是 想 维持现状 , 维持现状 最 符合 他们 自己 的 利益 . 现状 是 什么 ? 是 一团糟 , 谁 都 不 满意 ! 只有 90 岁 的 老头 老太太 满意 . 据统计 : 去年 的 大小 群体 事件 是 30 多万 起 , 维稳 经费 是 九千 亿 , 从 理论 上 讲 , 中国 现已 属于 内战 战 状态",2969,stability,censored,73,9.12,0.0,64.38,39.73,6.85,4.11,1.37,0.0,0.0,0.0,2.74,0.0,2.74,4.11,2.74,16.44,2.74,6.85,1.37,2.74,1.37,4.11,1.37,1.37,1.37,0.0,5.48,0.0,5.48,4.11,4.11,6.85,0.0,12.33,2.74,6.85,0.0,0.0,0.0,9.59,0.0,0.0,0.0,1.37,23.29,6.85,0.0,2.74,5.48,0.0,10.96,1.37,0.0,1.37,0.0,0.0,0.0,0.0,0.0,0.0,5.48,2.74,1.37,1.37,1.37,0.0,6.85,2.74,5.48,1.37,1.37,0.0,0.0,2.74,0.0,0.0,5.48,0.0,0.0,5.48,0.0,0.0,23.29,2.74,9.59,1.37,0.0,4.11,2.74,0.0,2.74,0.0,0.0,0.0,0.0328954,0.9671049999999999,0,0.00203153,0.00177746,11,6.636363636363638,2.2133908754545457
870,"中国 越来越 孤独 ! 用 虚假 的 数字 虚假 的 繁荣 在 全世界 面前 显摆 , 全世界 都 将 中国 视为 威胁 视为 敌人 . 邻国 中 朝鲜 勉强 算个 朋友 , 但 不 真心 , 随时 会 翻脸 ; 而 花钱买 来 的 非洲 朋友 , 只是 吸血虫 , 一旦 断 捐 则 断交 . 孤独 的 原因 是 中国 的 部分 官员 太 腐败 , 政治体制 太 落后 , 与 民主 的 普世 价值 格格不入 . 再 不 进行 政改 , 晚 矣 !",312067,democracy,censored,72,14.4,0.0,65.28,40.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.56,1.39,15.28,5.56,2.78,1.39,2.78,0.0,2.78,0.0,1.39,1.39,0.0,9.72,1.39,8.33,1.39,1.39,0.0,1.39,15.28,2.78,11.11,2.78,2.78,2.78,5.56,0.0,2.78,0.0,0.0,13.89,2.78,1.39,1.39,2.78,0.0,5.56,1.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.33,2.78,0.0,5.56,0.0,2.78,12.5,4.17,6.94,4.17,1.39,0.0,0.0,2.78,0.0,0.0,2.78,0.0,1.39,1.39,0.0,0.0,19.44,4.17,11.11,0.0,1.39,0.0,2.78,0.0,0.0,0.0,0.0,0.0,0.0181838,0.981816,0,0.00224184,0.00264661,11,6.545454545454546,2.183447665151516
871,中国 难道 没有 洗脑 教育 吗 ? 大家 为啥 不 借势 一起 反对 呢 ?,75916,brainwash,censored,13,6.5,0.0,76.92,46.15,7.69,7.69,0.0,7.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.08,0.0,15.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.38,15.38,0.0,0.0,0.0,0.0,7.69,15.38,0.0,15.38,0.0,7.69,0.0,7.69,0.0,0.0,0.0,0.0,38.46,0.0,7.69,0.0,0.0,15.38,23.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.77,7.69,0.0,15.38,0.0,15.38,7.69,7.69,7.69,7.69,7.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.38,0.0,0.0,0.0,0.0,15.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0772391,0.922761,0,0.00196931,0.00093815,8,1.625,0.54263582
872,"中国青年报 每次 都 冲 在 前面 啊 , 不愧 是 青年 , 忘 了 当年 的 迟志强 案 了 ? ? 支持 中青报 , 傅 局长 应 引咎辞职 ! 请 各位 参考 .",150988,social,censored,26,8.67,0.0,65.38,34.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.85,3.85,3.85,0.0,3.85,0.0,0.0,0.0,11.54,3.85,0.0,0.0,7.69,15.38,11.54,11.54,7.69,0.0,0.0,0.0,3.85,3.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.23,11.54,0.0,0.0,0.0,7.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.69,0.0,0.0,7.69,0.0,0.0,15.38,3.85,7.69,3.85,3.85,0.0,0.0,0.0,0.0,0.0,15.38,0.0,0.0,15.38,3.85,0.0,26.92,3.85,11.54,0.0,0.0,7.69,3.85,0.0,0.0,0.0,0.0,0.0,0.8765430000000001,0.123457,2,0.00175646,0.00189575,11,2.363636363636364,0.7890961912121214
873,"中国 高官 在 瑞士银行 约 有 5000 个 帐户 , 2 / 3 是 中央 官员 . 目前 还有 150 个 名字 未 确认 , 估计 是 家眷 . 部级 以上 和 大多数 的 中央委员 , 几乎 人人 有 份 . 瑞士银行 法国 雇员 带走 客户 信息 , 出于 良知 , 举报 纳税 大户 , 遭 瑞士 官方 通缉 . ” 据说 , 此帖 在 境外 中文网站 很 热 .",9103,china,censored,56,11.2,0.0,60.71,33.93,1.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.79,10.71,0.0,7.14,3.57,1.79,5.36,1.79,0.0,1.79,0.0,1.79,0.0,0.0,1.79,0.0,1.79,1.79,0.0,10.71,1.79,1.79,1.79,0.0,0.0,0.0,0.0,5.36,0.0,0.0,0.0,0.0,14.29,3.57,0.0,0.0,5.36,3.57,0.0,1.79,0.0,0.0,1.79,1.79,0.0,0.0,0.0,1.79,8.93,1.79,0.0,7.14,0.0,0.0,7.14,0.0,5.36,1.79,3.57,0.0,0.0,1.79,0.0,0.0,3.57,0.0,0.0,3.57,0.0,0.0,25.0,8.93,12.5,0.0,0.0,0.0,0.0,0.0,1.79,0.0,0.0,1.79,0.329651,0.670349,0,0.00146848,0.00114033,11,5.090909090909091,1.6978393003030303
874,"中国 鹰派 军人 : 梁光烈 , 李际均 , 金一南 , 朱成虎 , 罗援 , 尹卓 , 张召忠 , 戴旭 … … ( 我 说 这个 的 含义 之一 , 是 中国 还有 不少 鸽子 派 , 甚至 是 走狗 派 军人 . )",21007,china,censored,28,28.0,0.0,46.43,17.86,3.57,3.57,3.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.57,3.57,3.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.57,0.0,3.57,0.0,0.0,0.0,3.57,0.0,0.0,0.0,0.0,0.0,0.0,3.57,0.0,0.0,0.0,0.0,3.57,0.0,0.0,0.0,3.57,0.0,0.0,3.57,0.0,3.57,0.0,7.14,0.0,0.0,0.0,7.14,10.71,0.0,0.0,10.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.14,0.0,0.0,7.14,0.0,0.0,53.57,10.71,32.14,3.57,0.0,0.0,0.0,0.0,0.0,0.0,7.14,0.0,0.552335,0.447665,2,0.00193773,0.00156427,8,3.5,1.167834
875,"中國 的 父母 都 這樣 不 讓 孩子 看到 真相 孩子 們 一直 被 蒙 在 鼓 裏 如何 覺醒 讓 孩子 明白 而已 不是 讓 他們 去 閙 革命 要 不要 给 我 女儿 看 , 好 纠结 , 还是 不要 了 吧 . . . 我們 大陸 高中 的 孩子 也 沒 這 思想 他 比 我 还 敢 说",1277,everythingElse,censored,57,28.5,0.0,70.18,43.86,5.26,5.26,3.51,0.0,0.0,1.75,0.0,0.0,0.0,5.26,5.26,14.04,5.26,7.02,0.0,0.0,0.0,3.51,0.0,0.0,1.75,1.75,12.28,5.26,8.77,5.26,1.75,0.0,0.0,8.77,1.75,5.26,0.0,0.0,0.0,17.54,10.53,0.0,1.75,1.75,19.3,5.26,1.75,1.75,1.75,5.26,5.26,5.26,3.51,1.75,0.0,0.0,0.0,0.0,0.0,0.0,12.28,1.75,0.0,8.77,1.75,0.0,5.26,1.75,1.75,1.75,1.75,1.75,0.0,0.0,0.0,0.0,5.26,0.0,0.0,5.26,0.0,0.0,8.77,5.26,3.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.106396,0.8936040000000001,0,0.00225375,0.00215605,12,4.75,1.5848032666666667
876,"中國 的 科舉 制度 被 正式 廢除 , 到 今天 已經 107 年 . 傳統 的 興廢 自有 其道 , 只是 這個 事件 之後不過 16 年 , CCP 便 橫空 出世 , 這 算不算 報應 之一 ? 亂國 已近 百年 , Politb ü ro ( Politburo ) , 請 搬 到 廣場 停尸房 辦公 !",10981,everythingElse,censored,44,14.67,2.27,31.82,22.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.82,0.0,4.55,2.27,0.0,4.55,0.0,0.0,2.27,0.0,2.27,0.0,0.0,6.82,0.0,6.82,0.0,0.0,4.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.27,0.0,0.0,0.0,0.0,2.27,0.0,0.0,0.0,0.0,0.0,2.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.27,0.0,0.0,2.27,0.0,0.0,11.36,6.82,0.0,4.55,2.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,2.27,13.64,0.0,0.0,2.27,2.27,0.0,0.0,0.0,4.55,0.0,0.12156800000000001,0.878431,0,0.00134858,0.00140691,9,4.888888888888889,1.6305481262962964
877,"中央 对 地方 的 控制 就是 建立 在 财权 上 , 缺乏 宪政 框架 这种 制度 约束 下 , 中央 没有 了 财权 , 地方 就 会 渐趋 藩镇 化 , 谁 还 会 把 上面 当根葱 呢 ? 可以 设想 , 如果 没有 朱 同学 的 财政 改革 , 依胡 赵 时期 财政 体制 走 下来 , 中央 权力 走 到 今天 恐怕 已经 很 虚化 了 . 朱 挽救 了 党国",11354,poliReform,censored,64,21.33,0.0,70.31,39.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.25,4.69,10.94,3.12,3.12,3.12,4.69,3.12,9.38,1.56,1.56,0.0,7.81,9.38,6.25,7.81,4.69,1.56,0.0,4.69,7.81,1.56,4.69,1.56,0.0,1.56,3.12,0.0,1.56,0.0,0.0,20.31,6.25,0.0,7.81,6.25,4.69,3.12,1.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,0.0,4.69,7.81,0.0,6.25,26.56,7.81,14.06,4.69,6.25,0.0,0.0,1.56,0.0,0.0,10.94,0.0,0.0,7.81,1.56,4.69,14.06,1.56,10.94,0.0,0.0,1.56,0.0,0.0,0.0,0.0,0.0,0.0,0.08189860000000003,0.9181010000000001,0,0.00176273,0.00173235,11,5.8181818181818175,1.940558966060606
878,"中央纪委 研究室 主任 李雪勤 表示 , 世界 上 没 一个 政党 像 我党 这样 高度重视 反腐败 斗争 , 已经 走出 一条 中国 特色 反腐倡廉 道路 , 统计局 调查 显示 , 群众 对 反腐败 工作 满意度 逐年 走高 . - - 在 一个 官员 “ 前赴后继 , 既 往来 开 ” 式 贪污 , 官员 财产 都 不能 公布 , 自己 监督 自己 玩 的 国家 , 高调 宣布 反腐 成就 , 真的 不是 在 说 相声 ?",127297,china,censored,62,31.0,0.0,62.9,27.42,3.23,3.23,3.23,0.0,0.0,0.0,0.0,0.0,0.0,6.45,3.23,8.06,3.23,3.23,3.23,1.61,1.61,1.61,1.61,0.0,0.0,1.61,3.23,1.61,1.61,3.23,0.0,0.0,0.0,8.06,3.23,3.23,0.0,1.61,0.0,12.9,0.0,0.0,0.0,0.0,9.68,4.84,0.0,1.61,0.0,1.61,3.23,4.84,3.23,1.61,0.0,0.0,0.0,0.0,0.0,0.0,20.97,3.23,3.23,14.52,1.61,0.0,14.52,4.84,11.29,1.61,16.13,1.61,0.0,3.23,0.0,0.0,3.23,0.0,0.0,3.23,0.0,1.61,24.19,1.61,14.52,0.0,0.0,1.61,0.0,3.23,3.23,0.0,0.0,0.0,0.0502892,0.9497110000000001,0,0.00168848,0.00139251,11,5.636363636363638,1.8798148754545456
879,"中山 首里 : 公职人员 操死 英雄 纪念碑 碑文 三年 以来 , 在 车震 战斗 中 和 车库 活塞 运动 中 牺牲 的 操死 英雄 们 永垂不朽 ! 三十年 以来 , 在 随地 发情 攻势 和 床上运动 中 牺牲 的 操死 英雄 们 永垂不朽 ! 由此 上溯 到 1949 年 , 从那时起 , 为了 ＂ 操死 人民 ＂ , 争取 官员 性福 权利 , 在 历次 性交 , 强奸 , 车震 战斗 中 牺牲 的 操死 英雄 们 永垂不朽",207,everythingElse,censored,65,21.67,0.0,58.46,30.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.77,0.0,3.08,4.62,0.0,1.54,9.23,0.0,6.15,0.0,6.15,0.0,0.0,4.62,0.0,4.62,0.0,0.0,3.08,0.0,16.92,6.15,10.77,0.0,4.62,0.0,4.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.62,1.54,1.54,3.08,0.0,16.92,0.0,7.69,9.23,0.0,0.0,13.85,3.08,10.77,0.0,1.54,1.54,1.54,0.0,4.62,1.54,0.0,0.0,0.0,0.0,0.0,0.0,16.92,0.0,12.31,1.54,0.0,0.0,3.08,0.0,0.0,0.0,0.0,0.0,0.028461700000000006,0.9715379999999999,0,0.00183455,0.00183716,10,6.5,2.16789057
880,"中日 钓鱼岛 争端 正在 激化 , 日方 突然 使出 最 卑鄙 的 招数 : 公布 领导人 的 私有财产 ! 其中 , 首相 野田 佳彦 的 私有财产 总额 不足 1800 万日元 ( 折合 人民币 不到 150 万元 ) , 这是 84 年 日本 实行 内阁 成员 财产 申报 制度 以来 最穷 的 首相 . 希望 国人 擦亮眼睛 , 团结一心 , 莫让 日本鬼子 的 离间计 得逞 ( 转 )",13313,terrDispute,censored,55,18.33,0.0,43.64,27.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.82,0.0,3.64,0.0,3.64,1.82,1.82,0.0,3.64,0.0,1.82,1.82,0.0,9.09,0.0,9.09,1.82,0.0,5.45,3.64,7.27,3.64,3.64,0.0,1.82,1.82,1.82,0.0,0.0,0.0,0.0,5.45,0.0,0.0,3.64,1.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.91,1.82,3.64,5.45,0.0,1.82,7.27,0.0,1.82,3.64,7.27,0.0,0.0,1.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.82,1.82,9.09,1.82,0.0,0.0,1.82,0.0,0.0,0.0,7.27,0.0,0.0930788,0.9069209999999999,0,0.00223842,0.00252411,9,6.1111111111111125,2.0386245470370365
881,"中港台 三地 的 保钓 人士 预计 将 在 本周 联合行动 前往 钓鱼台 海域 宣示 主权 . 上个月 派舰 护航 持 五星旗 保钓 船 的 台湾 海巡 署 对 BBC 中文网 说 , 目前 仍 就 是否 再次 派 舰队 保护 保钓 船 进行 ＂ 内部 评估 ＂ . 日本 媒体报道 , 海上 保安厅 已经 紧急 展开 部署 , 并 加强 对 尖阁 列岛 周边 海域 的 警戒 , 准备 拦截 保钓 船 .",142095,terrDispute,censored,64,21.33,0.0,43.75,23.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.69,0.0,10.94,3.12,0.0,3.12,0.0,0.0,7.81,1.56,1.56,4.69,1.56,4.69,0.0,4.69,0.0,1.56,0.0,0.0,4.69,1.56,0.0,0.0,0.0,0.0,1.56,0.0,0.0,0.0,0.0,7.81,4.69,1.56,0.0,0.0,0.0,1.56,1.56,0.0,1.56,0.0,1.56,0.0,0.0,0.0,1.56,4.69,0.0,0.0,1.56,0.0,3.12,14.06,3.12,4.69,9.38,1.56,0.0,0.0,0.0,0.0,0.0,4.69,0.0,0.0,3.12,0.0,4.69,10.94,4.69,6.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.492017,0.507983,1,0.00142146,0.00157033,11,5.8181818181818175,1.9403912027272725
